site	code	latitude_dec	longitude_dec
Estuary J	ESTJ	49.0993	-67.3247
Anticosti Island North	ANTJ	49.79.7193	-62.4102
Saguenay	SAGU	48.339722	-70.849
Estuary U	ESTU	48.9548	-67.9288
Anticosti Island North	NANT	49.7807	-62.5422
Gaspé	GASP	49.53333	-64.85
Esquiman	ESQU	49.9485	-59.516
Labrador	NFLD	53.218056	-53.60055
Newfoundland	NFLG	47.04	-48
