site	code	latitude_dec	longitude_dec	sample
Jacobsbaii	JB	-31.971	17.875	38
Yzerfontein	YZ	-33.35698	18.1516	40
Sea Point	SP	-33.914	18.383	40
Battys Bay	BT	-34.368	18.915	40
Gansbaii	GB	-34.580813	19.339	40
Cape Agulhas	CA	-34.831	20.014	40
Jongesfontein	JF	-34.4274	21.339669	40
Mossel Bay	MB	-34.196	22.155	40
Knysna	KY	-34.089704	23.058701	40
Cape St. Francis	CF	-34.202	24.842	37
Haga Haga	HH	-32.764	28.252	40
Coffee Bay	CB	-31.98828	29.14959	39
Margate	MG	-30.852354	30.394507	40
