site	code	latitude_dec	longitude_dec	sample
Bristol Channel	CSBC	51.54	-5.42	19
Scilly Isles	CSIS	50.58	-7.13	24
Western Channel	WCF	48.73	-5.07	22
Western English Channel	WCE	50.54	-3.23	23
Eastern English Channel	EC	50.51	-1.73	24
Flamborough Head	NSE	54.8	1.27	19
NE Scotland	NSS	57.04	-1.76	19
Dutch Coast	NSNL	51.81	3.61	18
Denmark	NSD	56.5	6.95	18
Skagerrak	SKKT	57.63	11.71	18
Baltic	BAW	54.4	12.16	24
